Model;Promo_Price;Price;URL
['SAMSUNG', 'UE43AU7100UXUA'];16499;17 899-1 400                                        16 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue43au7100uxua.html
['HISENSE', '43A5730FA'];10999;13 999-3 000                                        10 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_hisense_43a5730fa.html
['UD', '55U6210', '(AndroidTV', '11)'];12999;16 999-4 000                                        12 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_ud_55u6210.html
['KIVI', '43U740LB'];12999;13 999-1 000                                        12 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_kivi_43u740lb.html
['SAMSUNG', 'UE55AU7100UXUA'];21999;24 299-2 300                                        21 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue55au7100uxua.html
['HISENSE', '32A5710FA'];8999;9 989-990                                        8 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_hisense_32a5710fa.html
['UD', '43U6210', '(AndroidTV', '11)'];9499;12 999-3 500                                        9 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_ud_43u6210.html
['KIVI', '40F740LB'];10499;12 499-2 000                                        10 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_kivi_40f740lb.html
['SAMSUNG', 'QE43Q60BAUXUA'];23499;26 499-3 000                                        23 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_qe43q60bauxua.html
['HISENSE', '43A6BG'];13999;15 499-1 500                                        13 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_hisense_43a6bg.html
['UD', '24WE5210', '(AndroidTV', '11)'];4999;6 499-1 500                                        4 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_ud_24we5210.html
['UD', '50U6210'];11999;14 999-3 000                                        11 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_ud_50u6210.html
['SAMSUNG', 'QE55Q60AAUXUA'];29199;32 399-3 200                                        29 199 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe55q60aauxua.html
['SAMSUNG', 'UE50AU7100UXUA'];18999;20 699-1 700                                        18 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue50au7100uxua.html
['HISENSE', '55A7400F'];17499;20 499-3 000                                        17 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_hisense_55a7400f.html
